cooperator,year,line_item,annual_value,monthly_value
SJL Corporation,0,gross_sales,35502000.0,2958500.0
SJL Corporation,0,raw_materials,14097600.0,1174800.0
SJL Corporation,0,direct_labor,4680000.0,390000.0
SJL Corporation,0,mfg_overhead,3107275.2,258939.6
SJL Corporation,0,operating_expenses,7616170.8,634680.9
SJL Corporation,1,gross_sales,46152600.0,3846050.0
SJL Corporation,1,raw_materials,15664000.0,1305333.33
SJL Corporation,1,direct_labor,5200000.0,433333.33
SJL Corporation,1,mfg_overhead,3452528.0,287710.67
SJL Corporation,1,operating_expenses,8462412.0,705201.0
SJL Corporation,2,gross_sales,53075490.0,4422957.5
SJL Corporation,2,raw_materials,18796800.0,1566400.0
SJL Corporation,2,direct_labor,6240000.0,520000.0
SJL Corporation,2,mfg_overhead,4143034.0,345252.83
SJL Corporation,2,operating_expenses,10154894.0,846241.17
SJL Corporation,3,gross_sales,61036814.0,5086401.17
SJL Corporation,3,raw_materials,22556160.0,1879680.0
SJL Corporation,3,direct_labor,7488000.0,624000.0
SJL Corporation,3,mfg_overhead,4971640.0,414303.33
SJL Corporation,3,operating_expenses,12185873.0,1015489.42
SJL Corporation,4,gross_sales,70192336.0,5849361.33
SJL Corporation,4,raw_materials,27067392.0,2255616.0
SJL Corporation,4,direct_labor,8985600.0,748800.0
SJL Corporation,4,mfg_overhead,5965968.0,497164.0
SJL Corporation,4,operating_expenses,14623048.0,1218587.33
SJL Corporation,5,gross_sales,80721186.0,6726765.5
SJL Corporation,5,raw_materials,29774131.0,2481177.58
SJL Corporation,5,direct_labor,10782720.0,898560.0
SJL Corporation,5,mfg_overhead,7159162.0,596596.83
SJL Corporation,5,operating_expenses,17547658.0,1462304.83
