cooperator,year,month,line_item,actual_value
SJL Corporation,1,1,gross_sales,3807589.5
SJL Corporation,1,2,gross_sales,3922971.0
SJL Corporation,1,3,gross_sales,4038352.5
SJL Corporation,1,4,gross_sales,3884510.5
SJL Corporation,1,5,gross_sales,3999892.0
SJL Corporation,1,6,gross_sales,4076813.0
SJL Corporation,1,7,gross_sales,3961431.5
SJL Corporation,1,8,gross_sales,4038352.5
SJL Corporation,1,9,gross_sales,3922971.0
SJL Corporation,1,1,raw_materials,1370600.0
SJL Corporation,1,2,raw_materials,1435866.67
SJL Corporation,1,3,raw_materials,1540293.33
SJL Corporation,1,4,raw_materials,1631666.67
SJL Corporation,1,5,raw_materials,1696933.33
SJL Corporation,1,6,raw_materials,1801360.0
SJL Corporation,1,7,raw_materials,1762200.0
SJL Corporation,1,8,raw_materials,1723040.0
SJL Corporation,1,9,raw_materials,1696933.33
SJL Corporation,1,1,direct_labor,433333.33
SJL Corporation,1,2,direct_labor,446333.33
SJL Corporation,1,3,direct_labor,429000.0
SJL Corporation,1,4,direct_labor,442000.0
SJL Corporation,1,5,direct_labor,450666.67
SJL Corporation,1,6,direct_labor,446333.33
SJL Corporation,1,7,direct_labor,437666.67
SJL Corporation,1,8,direct_labor,446333.33
SJL Corporation,1,9,direct_labor,442000.0
SJL Corporation,1,1,mfg_overhead,293464.88
SJL Corporation,1,2,mfg_overhead,302096.2
SJL Corporation,1,3,mfg_overhead,296341.99
SJL Corporation,1,4,mfg_overhead,304973.31
SJL Corporation,1,5,mfg_overhead,299219.09
SJL Corporation,1,6,mfg_overhead,307850.41
SJL Corporation,1,7,mfg_overhead,302096.2
SJL Corporation,1,8,mfg_overhead,299219.09
SJL Corporation,1,9,mfg_overhead,304973.31
SJL Corporation,1,1,operating_expenses,761617.08
SJL Corporation,1,2,operating_expenses,789825.12
SJL Corporation,1,3,operating_expenses,810981.15
SJL Corporation,1,4,operating_expenses,832137.18
SJL Corporation,1,5,operating_expenses,846241.2
SJL Corporation,1,6,operating_expenses,867397.23
SJL Corporation,1,7,operating_expenses,839189.19
SJL Corporation,1,8,operating_expenses,853293.21
SJL Corporation,1,9,operating_expenses,846241.2
